station_id,date_from,date_to,altitude,latitude,longitude,name,state,fid,ADE,GF,BSG,RS,AGS,SDV_RS,GEN,BEZ,IBZ,BEM,NBD,SN_L,SN_R,SN_K,SN_V1,SN_V2,SN_G,FK_S3,NUTS,RS_0,AGS_0,WSK,DEBKG_ID,t_altitude,t_total_prec_value,rvalue_1
"3215",2007-06-01,2021-03-03,"375","51.168300000000002","8.712500000000000",Medebach-Berge,Nordrhein-Westfalen,"48","4","4","1","05958","05958","059580032032",Hochsauerlandkreis,Kreis,"42",--,nein,"05","9","58","00","00","000",R,DEA57,"059580000000","05958000",2009/11/01,DEBKGDL20000DYKC,"375","288.2","374.899993896484"
"3499",2006-07-01,2021-03-03,"292","51.291499999999999","7.853000000000000",Neuenrade-Blintrop,Nordrhein-Westfalen,"49","4","4","1","05962","05962","059620032032",Märkischer Kreis,Kreis,"42",--,nein,"05","9","62","00","00","000",R,DEA58,"059620000000","05962000",2009/01/01,DEBKGDL20000E12D,"292","388.1","293.700012207031"
"4127",2005-01-01,2021-03-03,"347","50.990600000000001","7.695800000000000",Reichshof-Eckenhagen,Nordrhein-Westfalen,"24","4","4","1","05374","05374","053740012012",Oberbergischer Kreis,Kreis,"42",--,nein,"05","3","74","00","00","000",R,DEA2A,"053740000000","05374000",2009/01/01,DEBKGDL20000E6H4,"347","355","346.5"
"4313",2004-08-01,2021-03-03,"370","51.496600000000001","8.434200000000001",Rüthen,Nordrhein-Westfalen,"52","4","4","1","05974","05974","059740040040",Soest,Kreis,"42",--,ja,"05","9","74","00","00","000",R,DEA5B,"059740000000","05974000",2009/01/01,DEBKGDL20000E47C,"370","374.4","370.399993896484"
"4368",2004-10-01,2021-03-03,"93","51.709800000000001","8.579599999999999",Salzkotten,Nordrhein-Westfalen,"41","4","4","1","05774","05774","057740032032",Paderborn,Kreis,"42",--,ja,"05","7","74","00","00","000",R,DEA47,"057740000000","05774000",2009/01/01,DEBKGDL20000E454,"93","345","92.0999984741211"
"4400",2004-08-01,2021-03-03,"171","51.543900000000001","8.180800000000000","Sassendorf, Bad-Beusingsen",Nordrhein-Westfalen,"52","4","4","1","05974","05974","059740040040",Soest,Kreis,"42",--,ja,"05","9","74","00","00","000",R,DEA5B,"059740000000","05974000",2009/01/01,DEBKGDL20000E47C,"171","372.9","170.5"
"4488",2006-08-01,2021-03-03,"443","51.212699999999998","8.267200000000001",Schmallenberg-Sellinghausen,Nordrhein-Westfalen,"48","4","4","1","05958","05958","059580032032",Hochsauerlandkreis,Kreis,"42",--,nein,"05","9","58","00","00","000",R,DEA57,"059580000000","05958000",2009/11/01,DEBKGDL20000DYKC,"443","369.9","441.800018310547"
"4692",2008-03-01,2018-12-01,"229","50.853400000000001","7.996600000000000",Siegen (Kläranlage),Nordrhein-Westfalen,"51","4","4","1","05970","05970","059700040040",Siegen-Wittgenstein,Kreis,"42",--,ja,"05","9","70","00","00","000",R,DEA5A,"059700000000","05970000",2009/01/01,DEBKGDL20000E1WH,,,"229"
"5347",1995-09-01,2021-03-03,"236","51.503900000000002","9.111800000000001",Warburg,Nordrhein-Westfalen,"38","4","4","1","05762","05762","057620020020",Höxter,Kreis,"42",--,ja,"05","7","62","00","00","000",R,DEA44,"057620000000","05762000",2009/01/01,DEBKGDL20000E5W8,"236","367.3","236.100006103516"
"5360",2007-07-01,2021-03-03,"331","51.431899999999999","8.266500000000001",Warstein-Hirschberg,Nordrhein-Westfalen,"52","4","4","1","05974","05974","059740040040",Soest,Kreis,"42",--,ja,"05","9","74","00","00","000",R,DEA5B,"059740000000","05974000",2009/01/01,DEBKGDL20000E47C,"331","442.2","337.600006103516"
"5468",2006-07-01,2020-10-01,"418","50.937700000000000","7.847500000000000",Wenden-Dörnscheid,Nordrhein-Westfalen,"50","4","4","1","05966","05966","059660024024",Olpe,Kreis,"42",--,ja,"05","9","66","00","00","000",R,DEA59,"059660000000","05966000",2009/01/01,DEBKGDL20000DZXQ,,,"416.800018310547"
"5480",2003-09-10,2021-03-03,"85","51.576300000000003","7.887900000000000",Werl,Nordrhein-Westfalen,"52","4","4","1","05974","05974","059740040040",Soest,Kreis,"42",--,ja,"05","9","74","00","00","000",R,DEA5B,"059740000000","05974000",2009/01/01,DEBKGDL20000E47C,"85","285.4","84.5999984741211"
"5619",2004-12-01,2021-03-03,"360","51.163699999999999","7.423400000000000",Wipperfürth-Gardeweg,Nordrhein-Westfalen,"24","4","4","1","05374","05374","053740012012",Oberbergischer Kreis,Kreis,"42",--,nein,"05","3","74","00","00","000",R,DEA2A,"053740000000","05374000",2009/01/01,DEBKGDL20000E6H4,"360","341.6","360.300018310547"
"5699",2004-11-01,2021-03-03,"312","51.542700000000004","8.778400000000000",Wünnenberg-Eilern,Nordrhein-Westfalen,"41","4","4","1","05774","05774","057740032032",Paderborn,Kreis,"42",--,ja,"05","7","74","00","00","000",R,DEA47,"057740000000","05774000",2009/01/01,DEBKGDL20000E454,"312","334.8","311.700012207031"
"6264",2004-06-01,2021-03-03,"457","51.414000000000001","8.650000000000000",Brilon-Thülen,Nordrhein-Westfalen,"48","4","4","1","05958","05958","059580032032",Hochsauerlandkreis,Kreis,"42",--,nein,"05","9","58","00","00","000",R,DEA57,"059580000000","05958000",2009/11/01,DEBKGDL20000DYKC,"457","385","457.300018310547"
"6276",2004-11-01,2019-11-02,"235","51.489500000000000","7.781300000000000",Fröndenberg-Hohenheide,Nordrhein-Westfalen,"53","4","4","1","05978","05978","059780036036",Unna,Kreis,"42",--,ja,"05","9","78","00","00","000",R,DEA5C,"059780000000","05978000",2009/01/01,DEBKGDL20000E367,,,"235.100006103516"
"6313",2004-12-01,2021-03-03,"440","51.248800000000003","7.467200000000000",Breckerfeld-Wengeberg,Nordrhein-Westfalen,"47","4","4","1","05954","05954","059540024024",Ennepe-Ruhr-Kreis,Kreis,"42",--,nein,"05","9","54","00","00","000",R,DEA56,"059540000000","05954000",2009/01/01,DEBKGDL20000E45O,"440","386.9","439.899993896484"
"7330",2005-10-01,2021-03-03,"159","51.463299999999997","7.978000000000000",Arnsberg-Neheim,Nordrhein-Westfalen,"48","4","4","1","05958","05958","059580032032",Hochsauerlandkreis,Kreis,"42",--,nein,"05","9","58","00","00","000",R,DEA57,"059580000000","05958000",2009/11/01,DEBKGDL20000DYKC,"159","417.7","158.800003051758"
"13700",2008-05-01,2021-03-03,"205","51.332900000000002","7.341100000000000",Gevelsberg-Oberbröking,Nordrhein-Westfalen,"47","4","4","1","05954","05954","059540024024",Ennepe-Ruhr-Kreis,Kreis,"42",--,nein,"05","9","54","00","00","000",R,DEA56,"059540000000","05954000",2009/01/01,DEBKGDL20000E45O,"205","357.1","203.900009155273"
"13713",2007-11-01,2021-03-03,"386","51.089900000000000","7.628900000000000",Meinerzhagen-Redlendorf,Nordrhein-Westfalen,"49","4","4","1","05962","05962","059620032032",Märkischer Kreis,Kreis,"42",--,nein,"05","9","62","00","00","000",R,DEA58,"059620000000","05962000",2009/01/01,DEBKGDL20000E12D,"386","402","387.800018310547"
